time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
617.2667,-0.2177984,0.8791635,0.3788405,0.3372551,0.7860883,0.3272806,-0.1032088,0.7049555,1.356859,0.2860456,0.4143411,1.254201
617.6495,-0.3637294,0.7056221,0.05640491,0.400211,0.7329985,0.1123022,-0.4559601,-0.1268242,0.6027808,0.7383283,-0.01673764,0.6811365
617.6869,-0.3814686,0.7073928,0.1123568,0.3791942,0.7327669,0.133004,-0.4691706,-0.03711522,0.7741847,0.6391069,-0.02598834,0.7302778
617.7242,-0.3927406,0.7159426,0.1672599,0.3573282,0.7351968,0.1590749,-0.4585361,0.07766646,0.9342505,0.5221177,-0.008624732,0.8068203
617.7623,-0.3993495,0.729055,0.2176833,0.3368024,0.7404615,0.1892278,-0.4436338,0.1937982,1.061211,0.4102346,0.03056639,0.8896967
617.7999,-0.4005717,0.7457051,0.2613757,0.3231958,0.7474521,0.2187611,-0.4188504,0.3030733,1.157893,0.3460968,0.07162207,0.9554628
617.8383,-0.3982376,0.7613775,0.2940755,0.3127018,0.7562503,0.2475434,-0.3910653,0.3836805,1.219977,0.2846018,0.1232762,1.021206
617.8752,-0.3914824,0.7770031,0.3193908,0.3037181,0.7682741,0.2755277,-0.3352214,0.4371697,1.258192,0.2130175,0.1824186,1.080852
617.9127,-0.3806213,0.792462,0.3363363,0.3013575,0.7813505,0.2997909,-0.2364137,0.4839793,1.276572,0.1584326,0.2428226,1.130188
617.9516,-0.3695278,0.8073539,0.341979,0.3071846,0.7955954,0.3211355,-0.1004061,0.5199091,1.26119,0.1251599,0.2943774,1.167095
617.9885,-0.3688971,0.8178057,0.3361982,0.3189511,0.8115664,0.3367811,-0.01811883,0.5012379,1.217526,0.09354791,0.3366665,1.187465
618.0271,-0.3818853,0.8243719,0.3247268,0.33974,0.8317977,0.3478073,-0.0335198,0.431702,1.175874,0.09402497,0.3814894,1.206205
618.0659,-0.4076357,0.8329423,0.3075943,0.3719513,0.8557165,0.3538755,-0.1264753,0.3223967,1.120178,0.1498509,0.4201331,1.226193
618.1011,-0.4366807,0.8526589,0.2884315,0.4142073,0.8828009,0.3566967,-0.2002772,0.2360351,1.039357,0.2590162,0.4584382,1.248791
618.1387,-0.4663334,0.8871819,0.2769608,0.4631505,0.9166685,0.3538985,-0.2069117,0.2512581,1.003804,0.3956427,0.5079715,1.264069
618.1772,-0.5054747,0.9279459,0.2791007,0.5175729,0.9557717,0.3476548,-0.2559839,0.3445415,1.052013,0.5502207,0.6046128,1.283401
618.2142,-0.557309,0.9686262,0.2906866,0.5782778,0.999204,0.3375856,-0.4428947,0.4767613,1.153808,0.7657351,0.7568004,1.289479
618.2521,-0.6261481,1.015275,0.3046839,0.6414881,1.043704,0.3186648,-0.8019061,0.7134453,1.241705,1.032374,0.9632013,1.235577
618.2898,-0.6989135,1.071708,0.3054316,0.7024393,1.090965,0.2852977,-1.186548,1.094748,1.178175,1.329927,1.240049,1.049518
618.3273,-0.758588,1.133075,0.2721812,0.7489365,1.130316,0.2325296,-1.477103,1.544529,0.8329328,1.556109,1.511316,0.6834306
618.3652,-0.7858586,1.162646,0.1899605,0.7723252,1.143398,0.149415,-1.594418,1.74308,0.09338039,1.659447,1.598328,0.07161239
618.4028,-0.7447085,1.142755,0.1252749,0.748417,1.122323,0.07230315,-1.369598,1.720939,-0.3993361,1.479021,1.575313,-0.4385963
618.4406,-0.6858049,1.082024,0.1406468,0.6869082,1.070348,0.04587209,-1.30186,1.507023,-0.5225668,1.254534,1.465702,-0.6762751
618.4796,-0.6351891,0.9806227,0.2671062,0.6321782,0.9820942,0.103324,-1.516943,0.953703,-0.2038359,1.232112,1.095252,-0.6886832
618.5162,-0.5183506,0.9320915,0.4378462,0.5898261,0.8929983,0.2481674,-1.450161,0.569342,0.4497977,1.464846,0.6716551,-0.1823536
618.553,-0.3375092,0.9823709,0.5943426,0.4974978,0.8672633,0.3833394,-1.070062,0.7043805,1.215702,1.445206,0.5506757,0.3430669
618.592,-0.08348428,1.10725,0.6813626,0.3529669,0.8866083,0.5457274,-0.03269628,1.232242,1.67222,1.064394,0.6344268,1.201681
618.6292,0.1406537,1.236808,0.5750162,0.1035678,0.9508474,0.6314162,0.920689,1.656937,1.038737,-0.1569402,0.9237077,1.596506
618.6671,0.1993072,1.319897,0.4331732,-0.07449063,1.020828,0.5340176,1.030002,1.874801,0.3881394,-0.9148862,1.0756,1.073216
618.7044,0.2121319,1.364197,0.3403634,-0.1265991,1.067548,0.436347,1.003239,1.861235,-0.01615095,-1.119208,1.091783,0.5552565
618.7416,0.2172251,1.387511,0.2913536,-0.1390851,1.088886,0.3931727,1.01487,1.759139,-0.1836784,-1.129034,0.9950438,0.2873673
618.7793,0.209197,1.404025,0.2562587,-0.1474041,1.108204,0.37934,0.9891992,1.672197,-0.3091448,-1.110211,0.9143608,0.1911173
618.8179,0.1827498,1.411369,0.226676,-0.1490843,1.120749,0.3717134,0.8677996,1.591077,-0.4793072,-1.066436,0.8392041,0.09029201
618.8552,0.1484452,1.40979,0.2120455,-0.1314569,1.139582,0.3519624,0.7203102,1.542086,-0.5975644,-0.9746867,0.7808189,-0.04835296
618.8923,0.1165834,1.402392,0.2242249,-0.1167413,1.165378,0.3454719,0.6873724,1.536429,-0.585858,-1.006689,0.9700504,-0.06664443
618.9302,0.09493929,1.388668,0.2745353,-0.08449604,1.175782,0.3473987,0.8577741,1.528861,-0.3566773,-0.9813151,1.079762,-0.0844532
618.9673,0.05938776,1.368092,0.3563982,-0.03354686,1.171589,0.3832744,0.9975369,1.481856,0.02939081,-0.9921837,1.060944,0.121028
619.0049,-0.004394061,1.34876,0.4464531,0.04019126,1.171237,0.4396982,0.9904015,1.4391,0.3993295,-0.9440154,1.007834,0.3716049
619.0426,-0.1072292,1.340676,0.545309,0.1308305,1.195125,0.5249671,0.8281853,1.505302,0.858196,-0.8285498,1.102758,0.7915334
619.0801,-0.2604295,1.344119,0.6338847,0.2650814,1.254245,0.6245189,0.3390262,1.697432,1.352093,-0.3746514,1.494452,1.354617
619.1179,-0.4679305,1.346123,0.6601076,0.4648859,1.317765,0.6587021,-0.5228193,1.868556,1.511019,0.552874,1.889523,1.474392
619.1553,-0.6678316,1.321924,0.5802728,0.6857142,1.335438,0.55439,-1.275264,1.863249,1.161645,1.424111,1.936037,0.8610663
619.1926,-0.7827886,1.285498,0.4500563,0.798068,1.286351,0.3794114,-1.606884,1.79749,0.6924006,1.706243,1.656065,0.1831201
619.2307,-0.8379042,1.23898,0.3154981,0.8238275,1.242105,0.2415268,-1.754153,1.634733,0.2533162,1.703906,1.480943,-0.1688615
619.2684,-0.8516009,1.189979,0.1986566,0.82221,1.214803,0.1369482,-1.774082,1.452693,-0.08420463,1.611141,1.451125,-0.4302726
619.3055,-0.8363709,1.148131,0.09862051,0.7930151,1.176031,0.04684742,-1.710995,1.400565,-0.315275,1.447304,1.457537,-0.6550506
619.3432,-0.8029503,1.10693,0.0242768,0.7686956,1.122731,0.008291096,-1.658139,1.44468,-0.3688875,1.525342,1.428935,-0.5693977
619.3806,-0.7647632,1.043742,-0.02575555,0.7486626,1.056501,-0.009160361,-1.69081,1.265937,-0.3308254,1.681574,1.191868,-0.3428546
619.4178,-0.7072628,0.9725714,-0.07762088,0.6969567,1.02283,-0.06778152,-1.639058,0.998979,-0.4396429,1.564528,1.196937,-0.5336224
619.4557,-0.6353481,0.913546,-0.1235856,0.6321622,0.9771407,-0.1264026,-1.463656,0.8000317,-0.672239,1.352817,1.073807,-0.812925
619.4935,-0.5654511,0.8687161,-0.1367482,0.5656665,0.9202248,-0.1492402,-1.277362,0.6825407,-0.8138908,1.177233,0.8985911,-0.9401374
619.5309,-0.5237557,0.8349633,-0.09729812,0.5206887,0.8615909,-0.1254531,-1.261021,0.6500858,-0.7471139,1.086703,0.7055685,-0.9349498
619.5683,-0.4992008,0.7983659,-0.001231312,0.5017768,0.8012212,-0.04469988,-1.365773,0.5169361,-0.4133606,1.216195,0.492587,-0.6726749
619.6064,-0.4530119,0.769233,0.1390449,0.4713135,0.7510377,0.07033659,-1.350598,0.3293777,0.1096117,1.257245,0.218649,-0.2441046
619.6432,-0.3794484,0.7654847,0.2904243,0.4208564,0.7288454,0.1999706,-1.12316,0.2496418,0.7156287,1.146214,0.04427373,0.2722035
619.6815,-0.266976,0.817968,0.4280215,0.3450063,0.7552698,0.341932,-0.6412021,0.4514462,1.279853,0.9066212,0.1625405,0.9192194
619.7192,-0.1442981,0.9011096,0.5009483,0.2369521,0.8117322,0.4492511,-0.01576389,0.7606319,1.482653,0.3553924,0.3355208,1.320569
619.7561,-0.05635636,1.015001,0.5263234,0.1557295,0.9079072,0.5128039,0.4410664,1.149773,1.383299,-0.06320104,0.7056819,1.467358
619.7939,-0.02858612,1.138975,0.5358586,0.1291588,1.009469,0.5537671,0.4993134,1.64058,1.221215,-0.1534854,1.115274,1.507139
619.8313,-0.01816397,1.227351,0.5309054,0.1209088,1.094663,0.5768074,0.5215768,1.885965,1.055222,-0.1984541,1.38649,1.478386
619.8686,-0.01619991,1.286158,0.5216195,0.1200089,1.163382,0.5866781,0.5312026,2.016086,0.930954,-0.229178,1.601347,1.415083
619.9066,-0.01810399,1.328214,0.5083936,0.1102169,1.211939,0.5808452,0.5336884,2.106287,0.8086073,-0.3632596,1.744138,1.282689
619.9438,-0.0237522,1.351052,0.4929517,0.09885484,1.239567,0.5661272,0.517017,2.169348,0.6877854,-0.506868,1.809355,1.121503
619.9815,-0.03404664,1.353253,0.4851951,0.1045483,1.247155,0.5600893,0.4702778,2.203705,0.6348248,-0.4514918,1.881654,1.096961
620.019,-0.04601036,1.334967,0.4893569,0.1208586,1.235476,0.5631905,0.4222779,2.199404,0.6722674,-0.2782938,1.9202,1.172969
620.0565,-0.05939613,1.291871,0.5062433,0.1303587,1.197881,0.5630867,0.3873308,2.131926,0.8140476,-0.1936736,1.856931,1.241803
620.0945,-0.0753369,1.223606,0.5265791,0.1330402,1.136795,0.5608377,0.363708,1.980371,1.01088,-0.1823688,1.706531,1.31973
620.132,-0.09956414,1.130626,0.5409251,0.1352437,1.05797,0.5525145,0.3112286,1.73513,1.223439,-0.2061654,1.483943,1.390361
620.1686,-0.1393019,1.01338,0.5387811,0.1445214,0.9515177,0.5282074,0.175558,1.358869,1.422806,-0.2418809,1.117382,1.435501
