time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
848.6894,-0.397727,0.7598876,0.2525325,0.4397711,0.729723,0.1874266,-0.56501,0.2095225,1.070527,0.7382647,0.04734862,0.8547097
848.7181,-0.2926354,0.7278843,0.2175404,0.3187171,0.7066978,0.257625,-0.3897997,0.05198109,0.9480977,0.4652938,0.005898595,0.9557624
848.7559,-0.2820339,0.7635108,0.300384,0.2924065,0.7509035,0.3433395,-0.3104967,0.2593417,1.16352,0.3541822,0.2351597,1.197852
848.7946,-0.2705423,0.8110715,0.3681555,0.2669238,0.8110335,0.4119307,-0.2356864,0.4962447,1.316664,0.2370119,0.5035704,1.36302
848.8314,-0.2594246,0.8690388,0.4248901,0.2445467,0.8781305,0.4605473,-0.1622627,0.7460746,1.412534,0.1169199,0.778498,1.447353
848.8693,-0.2526546,0.9186444,0.4608599,0.2319588,0.9309022,0.4869332,-0.1087123,0.933104,1.45034,0.04775529,0.9666471,1.469171
848.9075,-0.2489476,0.9570873,0.4839939,0.2277275,0.9664496,0.5020625,-0.06201597,1.06298,1.460643,0.02955374,1.076012,1.476087
848.9453,-0.2474703,0.9823769,0.4979242,0.2291436,0.9899547,0.512217,-0.02390318,1.144801,1.458984,0.04969144,1.148934,1.483053
848.9821,-0.2482109,0.9937267,0.5047155,0.2331144,0.998339,0.5158292,-0.007716298,1.187693,1.455788,0.07439604,1.185771,1.485199
849.0201,-0.2514074,0.9912814,0.5058948,0.239389,0.989635,0.5129925,-0.01717162,1.195355,1.456414,0.1006095,1.173469,1.486104
849.0576,-0.2569737,0.9726518,0.500887,0.2468705,0.9629495,0.5044443,-0.04766411,1.142408,1.463889,0.1313073,1.076636,1.491217
849.0958,-0.2646413,0.9389122,0.4884165,0.2544988,0.9240618,0.4895945,-0.09367242,1.030358,1.46944,0.1653018,0.9208003,1.485603
849.1334,-0.2742232,0.8926352,0.4647124,0.2633076,0.8738788,0.4631571,-0.1489515,0.8504398,1.455937,0.2142145,0.7030054,1.447226
849.1702,-0.2862961,0.8413936,0.4300902,0.275565,0.8188954,0.4233924,-0.2340664,0.6155174,1.402845,0.311469,0.422511,1.340775
849.2075,-0.3024774,0.787495,0.3769704,0.2911748,0.7688913,0.3688784,-0.3887756,0.2956945,1.243391,0.4607798,0.1099963,1.101744
849.2455,-0.3165806,0.7555335,0.3184748,0.3023254,0.746407,0.3185685,-0.5506935,0.07111263,1.008952,0.5549921,-0.03910971,0.8834784
849.2833,-0.3147598,0.748433,0.2863242,0.3049318,0.743644,0.2999826,-0.5282748,0.01292211,0.9293133,0.5364746,-0.03044605,0.889196
849.3213,-0.3078722,0.7516189,0.2825373,0.3084948,0.7449599,0.2984199,-0.4529162,0.07149553,1.001143,0.5380874,0.02244121,0.9505348
849.3588,-0.304542,0.7558317,0.2848291,0.3117835,0.7491102,0.3021066,-0.4375182,0.1311684,1.054318,0.5523436,0.08077991,1.006
849.3962,-0.2999105,0.7591435,0.2875757,0.3141843,0.7534091,0.3067576,-0.4248838,0.1590305,1.077668,0.5740072,0.1278026,1.042358
849.4342,-0.2936669,0.7591106,0.2922198,0.3143754,0.7534104,0.3111604,-0.3940823,0.158887,1.085724,0.5814708,0.1377306,1.05251
849.4717,-0.2877697,0.7564963,0.3000654,0.314025,0.7503279,0.3171909,-0.3538062,0.1468685,1.089998,0.5923648,0.1186295,1.040713
849.5098,-0.283159,0.7536913,0.3116078,0.3149848,0.748142,0.3280353,-0.3178981,0.1395632,1.100049,0.6186604,0.1150008,1.040014
849.5471,-0.280927,0.7527168,0.3296976,0.3140189,0.7485732,0.3444047,-0.3107341,0.1507276,1.127645,0.6161836,0.1307312,1.07033
849.5845,-0.2792266,0.7551273,0.3519676,0.3102771,0.7523676,0.3641365,-0.3165283,0.1719053,1.163424,0.5830067,0.1609915,1.123013
849.6219,-0.2745526,0.7627403,0.3775755,0.3040674,0.7598875,0.3858708,-0.3062814,0.1998259,1.203481,0.5434198,0.1843361,1.167824
849.6595,-0.2656305,0.7774585,0.4071792,0.2971591,0.772931,0.4106596,-0.276497,0.265699,1.266239,0.5251709,0.216774,1.209847
849.697,-0.2512205,0.8011134,0.4406956,0.2873007,0.7941443,0.4404651,-0.2149047,0.3739287,1.344131,0.4919904,0.2812713,1.27417
849.7346,-0.2352648,0.8319719,0.4723698,0.2739539,0.8257007,0.4735148,-0.1498913,0.5207176,1.418854,0.4170704,0.4044856,1.369113
849.7723,-0.2209699,0.8638921,0.4983773,0.2618431,0.8611755,0.5033441,-0.1042217,0.6697303,1.472375,0.3466339,0.5621873,1.453826
849.8096,-0.2079209,0.8932966,0.5173219,0.2502927,0.8977498,0.5292084,-0.0583827,0.8076913,1.502365,0.2736772,0.7334557,1.515342
849.8474,-0.1980283,0.9133511,0.5281109,0.2408599,0.9288399,0.5473033,-0.01629958,0.9083024,1.511447,0.2089246,0.8821818,1.545704
849.8852,-0.1903595,0.9238873,0.5334029,0.2344703,0.9504613,0.5583468,0.02340247,0.9636806,1.509478,0.1653211,0.9992812,1.554758
849.9228,-0.1865391,0.9229571,0.5338894,0.2312618,0.9596304,0.5636886,0.04730469,0.9716094,1.504946,0.1442156,1.074286,1.553273
849.9609,-0.1883534,0.9108047,0.5296479,0.2306886,0.9538549,0.5635728,0.04027875,0.9342241,1.502879,0.1414964,1.0819,1.551322
849.9979,-0.1947268,0.8889847,0.519177,0.2309747,0.9313529,0.5568569,0.01196069,0.8465176,1.496662,0.1362608,1.008286,1.549384
850.0355,-0.204649,0.8628513,0.5032291,0.2347095,0.895671,0.5417811,-0.03381735,0.7366385,1.480412,0.1485528,0.8639178,1.537557
850.0733,-0.2182729,0.8342358,0.4794565,0.2421847,0.8525592,0.5167799,-0.08640972,0.6208252,1.447479,0.1608786,0.6821083,1.498786
850.1111,-0.2350037,0.8067459,0.4477429,0.2591306,0.8096571,0.4806411,-0.1418559,0.4903119,1.391773,0.2211273,0.4786865,1.423517
850.1483,-0.255787,0.7842909,0.4099045,0.2848169,0.7748901,0.4372277,-0.212269,0.3562205,1.312601,0.3447428,0.2860171,1.307522
850.186,-0.2787708,0.7693996,0.3733005,0.3128768,0.7514594,0.3889778,-0.2802898,0.27829,1.244397,0.4386656,0.167829,1.191195
850.2233,-0.3030227,0.7613578,0.3407708,0.3430869,0.736329,0.3442717,-0.3468274,0.2538067,1.201278,0.512785,0.119941,1.113212
850.261,-0.332251,0.7548048,0.3045395,0.3792146,0.7254162,0.2971492,-0.4458255,0.2266372,1.14605,0.6444967,0.08458704,1.01754
850.2983,-0.3612411,0.7493272,0.2657408,0.4134865,0.7194148,0.2501345,-0.5561416,0.1891676,1.070871,0.7936958,0.06335253,0.9020725
850.3363,-0.385347,0.7456039,0.2262617,0.4429158,0.718466,0.1996443,-0.6537325,0.1474454,0.9813614,0.9429791,0.04544389,0.7446012
850.3737,-0.400135,0.7423305,0.1902777,0.4616378,0.7210932,0.1498971,-0.7143486,0.09579432,0.8854474,1.072035,0.03435642,0.5446225
850.4113,-0.4080376,0.737525,0.1451723,0.4555671,0.716024,0.1034682,-0.829234,-0.009599566,0.6593693,1.107424,-0.01934659,0.2887074
850.4487,-0.3704771,0.7120459,0.08446886,0.3973985,0.6980109,0.05778966,-0.6319668,-0.2514009,0.1427224,0.7177923,-0.2054329,-0.2270561
850.4863,-0.3121099,0.7288019,0.1074304,0.3609952,0.6965532,0.1423319,-0.2560699,-0.2682137,0.05433394,0.5061585,-0.2917712,0.09604302
850.524,-0.2946622,0.7451823,0.2554025,0.3642573,0.7168375,0.2912208,-0.1709411,-0.1748213,0.6272714,0.5474727,-0.2038089,0.6359561
850.5618,-0.3322108,0.8355011,0.455527,0.4077941,0.8317667,0.474654,-0.5702463,0.4235769,1.335105,0.89374,0.4183303,1.244672
850.5999,-0.3174706,1.104291,0.5831203,0.400406,1.123246,0.5770648,-0.4459022,1.695047,1.379683,0.8731333,1.780585,1.163951
850.6368,-0.2166664,1.322665,0.5106072,0.2651833,1.336011,0.49492,0.06909665,2.280915,0.5204423,0.09498337,2.321378,0.4857979
850.6748,-0.1914404,1.307624,0.452587,0.2303582,1.321196,0.4490812,0.1017073,2.2348,0.2193272,0.1386233,2.300645,0.2694569
850.7122,-0.2195055,1.127659,0.608164,0.2228054,1.163501,0.5893822,-0.277247,1.77321,1.369695,0.4784195,1.839065,1.280957
850.75,-0.2278335,0.8843228,0.6111965,0.1393825,0.9172605,0.6251504,-0.2797808,0.6560515,1.583407,0.01658044,0.6382972,1.577568
850.7872,-0.2518138,0.6955972,0.3847309,0.07541396,0.759864,0.3245386,-0.3946088,-0.2525127,0.6688035,-0.3679036,-0.1181817,0.1442465
850.8253,-0.2868964,0.686933,0.3078719,0.06800856,0.7911619,0.3978309,-0.5638525,-0.1874564,0.7062919,-0.4822995,0.149955,0.9326344
850.8617,-0.3481127,0.7055929,0.2486165,0.1242173,0.7904442,0.379368,-0.7723922,-0.06706405,0.7208328,-0.2408605,0.04900903,0.9423884
850.8993,-0.3515331,0.723479,0.2214194,0.1572588,0.7974339,0.3361484,-0.7346246,0.04904521,0.8525929,-0.2350664,-0.01504529,0.7673776
850.9375,-0.330433,0.7240954,0.1515501,0.1798323,0.8185662,0.3045649,-0.5771062,-0.08848625,0.6796253,-0.3411455,0.04998374,0.6758642
850.9741,-0.3137013,0.730925,0.04957735,0.231235,0.8268226,0.2580017,-0.4524609,-0.2328199,0.2774844,-0.3049181,0.005741477,0.4538727
851.0117,-0.2974032,0.7487309,-0.04234793,0.3360383,0.8245135,0.1949985,-0.2980971,-0.2432456,-0.1687682,0.08425954,-0.1368153,0.08339901
851.0493,-0.2988638,0.7905294,-0.1066738,0.4186118,0.849811,0.1573068,-0.2066895,-0.05622542,-0.630611,0.3386361,-0.0905239,-0.173411
851.0872,-0.3164675,0.8137188,-0.09335382,0.4859761,0.8641855,0.1936605,-0.2233203,0.0901264,-0.7772675,0.4456801,-0.1226465,0.03701124
851.1243,-0.3447502,0.8073167,-0.03002639,0.5499012,0.9161181,0.3570031,-0.4342157,0.1274698,-0.7579028,0.6618997,0.1454623,0.9843355
851.1625,-0.33695,0.7833171,0.0771098,0.574936,1.170061,0.5145766,-0.5576205,0.06852001,-0.5864937,0.8032923,1.642366,1.365918
851.1993,-0.2561755,0.7240903,0.2502891,0.5552198,1.439566,0.3855928,-0.366191,-0.2349778,-0.01064152,0.6387988,2.434832,0.3359856
851.2368,-0.08074011,0.7397584,0.504941,0.4942963,1.517068,0.2653048,0.2924566,0.03779244,1.111545,0.338695,2.420689,-0.1337668
851.2755,0.06060161,1.019525,0.7005013,0.4945545,1.546106,0.2209427,0.2342067,1.453097,1.584739,0.4835097,2.403522,-0.2935643
851.3115,0.03195401,1.267682,0.7029738,0.4836664,1.565714,0.1940271,0.01895488,2.04752,1.32882,0.4513729,2.382791,-0.3815969
851.3493,0.009502882,1.458054,0.6252346,0.4473214,1.561525,0.1732268,-0.1894014,2.427338,0.7698911,0.2012214,2.284517,-0.4723094
851.387,-0.004332723,1.559138,0.5382214,0.424751,1.528849,0.2017411,-0.2596973,2.516261,0.4014562,0.01226982,2.268866,-0.3295166
851.4246,-0.01974571,1.613281,0.4631466,0.4630409,1.452584,0.3016623,-0.2823339,2.513705,0.1163265,0.2089844,2.404794,0.1320994
851.4619,-0.04011907,1.634027,0.4033074,0.5537887,1.24008,0.4551348,-0.3719602,2.43285,-0.09845316,0.8221285,1.999771,1.047472
851.4999,-0.05340432,1.633608,0.3550498,0.5340385,0.7839363,0.4378349,-0.410899,2.31075,-0.2881272,0.7114893,0.00743264,1.042445
851.5371,-0.05577797,1.621451,0.3271699,0.3875949,0.6841368,0.1687495,-0.3668506,2.20068,-0.4263071,0.2006663,-0.2973657,0.1273876
851.5745,-0.04499689,1.605696,0.320988,0.4285302,0.6627668,0.1736668,-0.260581,2.154519,-0.4866735,0.6232463,-0.2476096,0.5387706
851.6119,-0.02813117,1.582163,0.3342181,0.4524835,0.6511888,0.09142119,-0.1749052,2.149747,-0.4759088,0.8108966,-0.2702717,0.2412571
851.6493,-0.005755621,1.541635,0.3654189,0.4459007,0.6446434,0.07105416,-0.08107347,2.138153,-0.4336389,0.8510704,-0.2505689,0.2566149
851.687,0.02767503,1.479022,0.4381778,0.4258996,0.6376522,0.05817922,0.02925442,2.216124,-0.2376021,0.8381635,-0.2670615,0.1655638
851.7244,0.06585927,1.37139,0.596876,0.409107,0.6364788,0.05212434,0.1456732,2.368142,0.5861292,0.7868919,-0.2867662,0.1221055
851.7622,0.08770756,1.079509,0.7611714,0.4019091,0.6417217,0.05483647,0.2423374,1.385097,1.700695,0.7723406,-0.2829375,0.1430745
851.8,0.04766047,0.7340368,0.6344135,0.4043597,0.6559034,0.06904031,0.1899703,-0.04804188,1.241127,0.8188868,-0.2393909,0.2321828
851.8374,-0.008105423,0.6752267,0.4573435,0.3968293,0.6744736,0.08679505,0.1772225,-0.2238786,0.8539078,0.73757,-0.2409882,0.3008642
851.8743,-0.09464442,0.6757009,0.3805965,0.3799193,0.6949461,0.1105439,-0.09355288,-0.2397204,0.7830921,0.5629674,-0.2503962,0.3803982
851.913,-0.1542877,0.694374,0.3352901,0.3718721,0.7221488,0.1256292,-0.1472776,-0.1782151,0.8236947,0.4339578,-0.2459978,0.3681939
851.9499,-0.2046709,0.7174803,0.2778826,0.3733684,0.7562633,0.1235052,-0.1874217,-0.1596706,0.7577878,0.2968084,-0.2350379,0.2305593
851.9873,-0.2565983,0.7362949,0.1965649,0.3861593,0.8177861,0.1082621,-0.2688349,-0.2294842,0.4556421,0.1943551,-0.1471542,-0.07090674
852.0251,-0.3003645,0.7623163,0.1140927,0.435492,0.9168046,0.1309307,-0.3606806,-0.2358546,0.1099458,0.2390703,0.0007479787,-0.2187246
852.062,-0.3183501,0.7980087,0.04482472,0.5274836,1.005371,0.2544127,-0.3540155,-0.1477547,-0.2780681,0.5432053,0.008075953,0.3262182
852.0997,-0.3174609,0.8597873,0.023134,0.6123854,1.191698,0.4245853,-0.2648136,0.09666002,-0.6209663,0.853484,0.5309406,1.13541
852.1379,-0.3154288,0.9078659,0.08589718,0.6515914,1.497908,0.5225561,-0.2687211,0.2129318,-0.6316578,0.9199387,1.677754,1.468941
852.176,-0.2930639,0.9206902,0.2442473,0.5895794,1.854668,0.4040261,-0.2791556,-0.001596928,-0.1420077,0.4243255,2.839723,0.4525877
852.2126,-0.1983576,1.011778,0.5169634,0.4509169,1.919083,0.172664,0.06526607,0.1712181,0.9902086,-0.1170291,2.473658,-0.4355171
852.2504,-0.0781643,1.289901,0.718013,0.4087473,1.883768,0.05351865,0.4380277,1.389524,1.568672,-0.1275214,2.164375,-0.7425191
852.2878,-0.0417591,1.601183,0.6989307,0.4192415,1.839044,-0.009039899,0.3574199,2.456565,1.029051,0.1712065,1.884265,-0.9767349
852.3259,-0.08724445,1.799485,0.5495859,0.4296293,1.784829,-0.01910895,0.007429332,2.764507,0.305106,0.3348143,1.621363,-1.001091
852.3629,-0.1603026,1.862543,0.4043059,0.4233832,1.766689,0.001177894,-0.4527691,2.578255,-0.2299021,0.3440849,1.61974,-0.9847826
852.4007,-0.1961075,1.838191,0.2865429,0.4309293,1.765712,0.0256645,-0.4621717,2.156084,-0.6234869,0.4821822,1.721084,-0.9720235
852.4381,-0.1959379,1.792928,0.2203321,0.422323,1.755377,0.05464881,-0.3357224,1.820689,-0.7694608,0.5103214,1.772926,-0.9413174
852.4758,-0.186277,1.75897,0.1901771,0.4070393,1.739824,0.07993066,-0.306946,1.642798,-0.7956947,0.4762976,1.801224,-0.9157768
852.5132,-0.1711299,1.756686,0.1784548,0.3936829,1.718526,0.1026751,-0.2703172,1.731392,-0.8162925,0.456675,1.782348,-0.8932962
852.5508,-0.1580508,1.744989,0.1766814,0.3738534,1.697638,0.1297962,-0.2313941,1.761289,-0.8204921,0.408572,1.786434,-0.8656483
852.5883,-0.1451972,1.721943,0.1861642,0.3549745,1.675626,0.1685002,-0.1439647,1.729016,-0.8138101,0.3853154,1.835644,-0.8181479
852.6257,-0.1337239,1.700505,0.2153857,0.3318515,1.652192,0.2287134,-0.06362868,1.762106,-0.7802507,0.347893,1.993625,-0.7110558
852.663,-0.1212579,1.675256,0.2906159,0.3039257,1.611794,0.3261079,0.04748897,1.967825,-0.6506215,0.3021425,2.233525,-0.4571204
852.7009,-0.1252826,1.63052,0.4387826,0.2826186,1.531898,0.4647815,0.05504377,2.420413,-0.1473495,0.3505941,2.448115,0.06990594
852.7383,-0.151612,1.453592,0.6669935,0.2570503,1.33027,0.6609315,-0.08623056,2.370296,1.061174,0.4717245,2.158606,1.1784
852.7767,-0.187049,1.067273,0.767677,0.1594848,0.8936918,0.7109743,-0.2038491,1.034337,1.766993,0.1301881,0.3518051,1.550915
